what;when;with;where;why;type
"Generalized additive latent and mixed models";"2021";"NORDSTAT2021";"Tromsø, Norway (Online)";Slides: https://osorensen.github.io/NORDSTAT2021/presentation.html;"contributed talk"
"Longitudinal modeling of age-dependent latent traits with generalized additive latent and mixed models";"2021";"Nordic-Baltic Biometrics Conference";"Helsinki, Finland (Online)";Slides: https://osorensen.github.io/NordicBalticBiometrics2021/presentation.html;"contributed talk"
"Flexible Meta-Analysis of Generalized Additive Models with metagam";"2020";"European R User Meeting";"Milan, Italy (Online)";Slides: https://osorensen.github.io/ERUM2020/metagam/metagam.html;"regular talk"
"Analyzing Preference Data with the BayesMallows Package";"2020";"European R User Meeting";"Milan, Italy (Online)";Slides: https://osorensen.github.io/ERUM2020/BayesMallows/presentation.html;"lightning talk"
"On Computing Age Trajectories of Brain Volumes Using Additive Mixed Models";"2019";"Organization for Human Brain Mapping Annual Meeting";"Rome, Italy";Poster presentation.;"poster"
"Bayesian inference for the Mallows rank model";"2014";"NORDSTAT2014";"Turku, Finland";Contributed talk.;"talk"
"Generalized Matrix Uncertainty Selector";"2013";"Workshop on Statistical Methods for Post-Genomic Data";"Amsterdam, Netherlands";Contributed talk.;"talk"
"Variable Selection by Lasso in Regression with Measurement Error";"2012";"Annual conference of the International Society for Clinical Biostatistics";"Bergen, Norway";Contributed talk.;"talk"
"Variable Selection by Lasso in Regression with Measurement Error";"2012";"World Congress of Probability and Statistics";"Istanbul, Turkey";Contributed talk.;"talk"
"Impact of Measurement Error in Lasso";"2012";"NSF Workshop for High-Dimensional Data";"Yale University, New Haven, United States";Poster presentation.;"talk"